,Top_Hit_#,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,Full_number_of_hits
94,-0.004905,67.80545,80.317674,80.317674,77138,80.317675,80.317673,0.0,0.0,0,4
95,-0.004905,63.707439,81.105556,81.105556,154248,81.105557,81.105555,0.0,0.0,0,4
96,-0.004905,50.89209,81.117519,81.117519,159368,81.11752,81.117518,0.0,0.0,0,4
97,-0.004905,41.908661,81.148679,81.148679,172704,81.14868,81.148678,0.0,0.0,0,4
98,-0.004905,43.370659,81.190549,81.190549,190624,81.19055,81.190548,0.0,0.0,0,4
99,-0.004905,34.130966,81.214475,81.214475,200864,81.214476,81.214473,0.0,0.0,0,4
100,-0.004905,63.243942,81.184567,81.184567,188064,81.184569,81.184566,0.0,0.0,0,4
101,-0.004905,233.032059,81.166623,81.166623,180384,81.166624,81.166622,0.0,0.0,0,8
102,-0.004905,282.019806,81.178586,81.178586,185504,81.178587,81.178585,0.0,0.0,0,8
103,-0.004905,725.182556,81.172604,81.172604,182944,81.172606,81.172603,0.0,0.0,0,10
104,-0.004905,921.074036,81.50847,81.50847,66595,81.508471,81.508468,0.0,0.0,0,11
105,-0.004905,46.332626,81.502488,81.502488,64035,81.502489,81.502487,0.0,0.0,0,4
106,-0.004905,337.066681,81.539003,81.539003,79663,81.539004,81.539002,0.0,0.0,0,8
107,-0.004905,40.825916,81.569536,81.569536,92731,81.569538,81.569535,0.0,0.0,0,4
108,-0.004905,45.597885,81.60007,81.60007,105799,81.600071,81.600069,0.0,0.0,0,4
